
** Pinging continuously.  Press control-c to stop **

2026:04:16 14:14:43 Probing 177.136.10.96:491/tcp - Port is open - time=30.856ms 
2026:04:16 14:14:45 Probing 177.136.10.96:491/tcp - Port is open - time=20.342ms 
2026:04:16 14:14:46 Probing 177.136.10.96:491/tcp - Port is open - time=25.168ms 
2026:04:16 14:14:48 Probing 177.136.10.96:491/tcp - Port is open - time=24.469ms 
2026:04:16 14:14:50 Probing 177.136.10.96:491/tcp - Port is open - time=25.836ms 
2026:04:16 14:14:51 Probing 177.136.10.96:491/tcp - Port is open - time=20.941ms 
2026:04:16 14:14:53 Probing 177.136.10.96:491/tcp - Port is open - time=20.565ms 
2026:04:16 14:14:54 Probing 177.136.10.96:491/tcp - Port is open - time=22.884ms 
2026:04:16 14:14:56 Probing 177.136.10.96:491/tcp - Port is open - time=22.652ms 
2026:04:16 14:14:58 Probing 177.136.10.96:491/tcp - Port is open - time=24.664ms 
2026:04:16 14:14:59 Probing 177.136.10.96:491/tcp - Port is open - time=23.760ms 
2026:04:16 14:15:01 Probing 177.136.10.96:491/tcp - Port is open - time=20.907ms 
2026:04:16 14:15:02 Probing 177.136.10.96:491/tcp - Port is open - time=24.139ms 
2026:04:16 14:15:04 Probing 177.136.10.96:491/tcp - Port is open - time=22.730ms 
2026:04:16 14:15:06 Probing 177.136.10.96:491/tcp - Port is open - time=25.210ms 
2026:04:16 14:15:07 Probing 177.136.10.96:491/tcp - Port is open - time=22.407ms 
2026:04:16 14:15:09 Probing 177.136.10.96:491/tcp - Port is open - time=23.821ms 
2026:04:16 14:15:10 Probing 177.136.10.96:491/tcp - Port is open - time=61.856ms 
2026:04:16 14:15:12 Probing 177.136.10.96:491/tcp - Port is open - time=25.620ms 
2026:04:16 14:15:14 Probing 177.136.10.96:491/tcp - Port is open - time=26.502ms 
2026:04:16 14:15:15 Probing 177.136.10.96:491/tcp - Port is open - time=25.462ms 
2026:04:16 14:15:17 Probing 177.136.10.96:491/tcp - Port is open - time=24.624ms 
2026:04:16 14:15:18 Probing 177.136.10.96:491/tcp - Port is open - time=23.353ms 
2026:04:16 14:15:20 Probing 177.136.10.96:491/tcp - Port is open - time=30.866ms 
2026:04:16 14:15:21 Probing 177.136.10.96:491/tcp - Port is open - time=23.754ms 
2026:04:16 14:15:23 Probing 177.136.10.96:491/tcp - Port is open - time=22.400ms 
2026:04:16 14:15:25 Probing 177.136.10.96:491/tcp - Port is open - time=24.835ms 
2026:04:16 14:15:26 Probing 177.136.10.96:491/tcp - Port is open - time=25.286ms 
2026:04:16 14:15:28 Probing 177.136.10.96:491/tcp - Port is open - time=24.792ms 
2026:04:16 14:15:29 Probing 177.136.10.96:491/tcp - Port is open - time=23.599ms 
2026:04:16 14:15:31 Probing 177.136.10.96:491/tcp - Port is open - time=24.457ms 
2026:04:16 14:15:33 Probing 177.136.10.96:491/tcp - Port is open - time=22.261ms 
2026:04:16 14:15:34 Probing 177.136.10.96:491/tcp - Port is open - time=22.299ms 
2026:04:16 14:15:36 Probing 177.136.10.96:491/tcp - Port is open - time=27.217ms 
2026:04:16 14:15:38 Probing 177.136.10.96:491/tcp - Port is open - time=23.215ms 
2026:04:16 14:15:39 Probing 177.136.10.96:491/tcp - Port is open - time=20.796ms 
2026:04:16 14:15:41 Probing 177.136.10.96:491/tcp - Port is open - time=24.685ms 
2026:04:16 14:15:42 Probing 177.136.10.96:491/tcp - Port is open - time=24.306ms 
2026:04:16 14:15:44 Probing 177.136.10.96:491/tcp - Port is open - time=38.522ms 
2026:04:16 14:15:46 Probing 177.136.10.96:491/tcp - Port is open - time=24.389ms 
2026:04:16 14:15:47 Probing 177.136.10.96:491/tcp - Port is open - time=23.581ms 
2026:04:16 14:15:49 Probing 177.136.10.96:491/tcp - Port is open - time=33.453ms 
2026:04:16 14:15:51 Probing 177.136.10.96:491/tcp - Port is open - time=24.825ms 
2026:04:16 14:15:52 Probing 177.136.10.96:491/tcp - Port is open - time=24.651ms 
2026:04:16 14:15:54 Probing 177.136.10.96:491/tcp - Port is open - time=20.972ms 
2026:04:16 14:15:55 Probing 177.136.10.96:491/tcp - Port is open - time=20.769ms 
2026:04:16 14:15:57 Probing 177.136.10.96:491/tcp - Port is open - time=22.146ms 
2026:04:16 14:15:59 Probing 177.136.10.96:491/tcp - Port is open - time=22.960ms 
2026:04:16 14:16:00 Probing 177.136.10.96:491/tcp - Port is open - time=37.826ms 
2026:04:16 14:16:02 Probing 177.136.10.96:491/tcp - Port is open - time=22.828ms 
2026:04:16 14:16:03 Probing 177.136.10.96:491/tcp - Port is open - time=20.797ms 
2026:04:16 14:16:05 Probing 177.136.10.96:491/tcp - Port is open - time=22.996ms 
2026:04:16 14:16:07 Probing 177.136.10.96:491/tcp - Port is open - time=26.803ms 
2026:04:16 14:16:08 Probing 177.136.10.96:491/tcp - Port is open - time=25.164ms 
2026:04:16 14:16:10 Probing 177.136.10.96:491/tcp - Port is open - time=22.228ms 
2026:04:16 14:16:12 Probing 177.136.10.96:491/tcp - Port is open - time=20.594ms 
2026:04:16 14:16:13 Probing 177.136.10.96:491/tcp - Port is open - time=23.886ms 
2026:04:16 14:16:15 Probing 177.136.10.96:491/tcp - Port is open - time=19.814ms 
2026:04:16 14:16:16 Probing 177.136.10.96:491/tcp - Port is open - time=20.744ms 
2026:04:16 14:16:18 Probing 177.136.10.96:491/tcp - Port is open - time=23.682ms 
2026:04:16 14:16:19 Probing 177.136.10.96:491/tcp - Port is open - time=24.152ms 
2026:04:16 14:16:21 Probing 177.136.10.96:491/tcp - Port is open - time=29.470ms 
2026:04:16 14:16:23 Probing 177.136.10.96:491/tcp - Port is open - time=31.600ms 
